date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-06-15,5.5,5.5,5.5,5.5,5.5,1311070,7210885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,7.49,,,,,
2023-06-16,6.05,6.05,6.05,6.05,6.05,5847495,35365649.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,0.04,0,4.77,,,,,,,,,,,7.78,,,,,
2023-06-19,6.65,6.65,6.65,6.65,6.65,10838760,72099431.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.821199999999999,,0.06,0,4.821199999999999,,,,,,,,,,,7.58,,,,,
2023-06-20,6.2,6.22,5.99,5.99,6.06,40322180,244537892.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.930928,,0.06,0,4.930928,,,,,,,,,,,7.44,,,,,
2023-06-21,5.39,5.39,5.39,5.39,5.39,10737080,57894335.36,5.9159999999999995,,,,,,,,5.916000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03407232,,0.06,0,5.03407232,,,,,,,,,,,7.3,,,,,
2023-06-22,5.12,5.52,5.1,5.19,5.22,359490900,1877333377.98,5.854,,,,,,,,5.674000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,0.02,1,6.65,,,,,,,,,,,7.36,,,,,-5.636363636363628
2023-06-23,5.23,5.32,5.14,5.18,5.22,99612670,519858602.2,5.68,,,,,,,,5.509333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.619000000000001,0.02,0,6.619000000000001,,,,,,,,,,,8.09,,,,,-14.380165289256198
2023-06-26,5.18,5.28,5.17,5.18,5.2,65252810,339484269.31,5.386,,,,,,,,5.3995555555555566,5.641249999999999,,,,,,,,,,,35.78329899191967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.588620000000001,0.02,0,6.588620000000001,,,,,,,,,,,8.06,,,,,-22.10526315789475
2023-06-27,5.18,5.19,5.14,5.14,5.17,34068420,176011085.09,5.215999999999999,,,,,,,,5.313037037037038,5.529861111111111,,,,,,,,,,,34.61716259405853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.558847600000001,0.02,0,6.558847600000001,,,,,5.875,,,,,,8.86,5.875,,,,-14.190317195325552
2023-07-03,5.14,5.2,5.13,5.14,5.15,71267220,367182970.88,5.1659999999999995,5.5409999999999995,,,,,,,5.2553580246913585,5.443225308641975,5.5409999999999995,,,,,,,,,,34.617162594058534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.529670648000001,0.02,0,6.529670648000001,,,,,5.875,,,,,,8.54,5.875,,,,-4.638218923933213
