date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2022-12-22,5.8,5.8,5.8,5.8,5.8,2773487,16084896.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,6.91,,,,,
2022-12-23,6.38,6.38,6.38,6.38,6.38,3224482,20567922.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,0.04,0,5.8,,,,,,,,,,,7.19,,,,,
2022-12-26,7.01,7.01,6.87,7.01,7.01,129898100,910449677.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,0.06,0,5.8,,,,,,,,,,,6.96,,,,,
2022-12-27,7.66,7.71,7.28,7.71,7.63,504684700,3851290834.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8726,,0.08,0,5.8726,,,,,,,,,,,6.79,,,,,
2022-12-28,7.78,8.48,7.43,7.88,8.16,416364400,3396930608.35,6.956,,,,,,,,6.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.019592,,0.1,0,6.019592,,,,,,,,,,,6.63,,,,,
2022-12-29,7.96,8.32,7.57,7.59,7.81,197218200,1540782570.52,7.314,,,,,,,,7.167333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.265632800000001,,0.1,0,6.265632800000001,,,,,,,,,,,6.77,,,,,30.862068965517242
2022-12-30,7.6,7.71,7.23,7.23,7.35,143010900,1051423430.36,7.484,,,,,,,,7.188222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48706952,,0.1,0,6.48706952,,,,,,,,,,,6.55,,,,,13.322884012539205
2023-01-02,7.27,7.31,6.97,7.0,7.07,138433200,978532378.35,7.482000000000001,,,,,,,,7.125481481481483,7.074999999999999,,,,,,,,,,,57.24548701361022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.686362568000001,,0.1,0,6.686362568000001,,,,,,,,,,,6.39,,,,,-0.14265335235377208
2023-01-03,7.7,7.7,7.31,7.7,7.61,288205500,2193311295.09,7.4799999999999995,,,,,,,,7.316987654320989,7.213888888888889,,,,,,,,,,,70.80682383482649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8657263112,,0.1,0,6.8657263112,,,,,7.140000000000001,,,,,,6.84,7.140000000000001,,,,-0.12970168612191912
2023-01-04,7.71,8.16,7.38,7.38,7.84,264920300,2077561950.46,7.38,7.168000000000001,,,,,,,7.337991769547326,7.250802469135802,7.167999999999999,,,,,,,,,,60.56169773718892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,,0.1,0,6.97,,,,,7.43,,,,,,6.54,7.43,,,,-6.345177664974622
2023-01-05,7.42,7.51,6.84,6.84,7.12,106132300,755287965.77,7.230000000000001,7.272,,,,,,,7.171994513031551,7.159513031550068,7.108363636363636,,,,,,,,7.221962962962962,,47.13483000872343,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48,0.02,1,8.48,,,,,7.66,,,,,,6.39,7.66,,,,-9.881422924901184
2023-01-06,6.9,7.52,6.77,7.45,7.22,132348900,955358814.11,7.273999999999999,7.3790000000000004,,,,,,,7.264663008687702,7.224065691205608,7.170479338842974,,,,,,,,7.1962222222222225,,59.08857828248639,,,,1.0700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4472,0.04,0,8.4472,,,,,7.625,,,,,,6.46,7.625,,,,3.042876901798053
2023-01-09,7.56,7.72,7.19,7.31,7.45,77355570,576403117.1,7.336,7.409000000000001,,,,,,,7.279775339125135,7.243162204271028,7.195846731780615,7.1753846153846155,,,,,,,7.198629629629629,,55.71528706347758,,,,0.2999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.380112,0.04,0,8.380112,,,,,7.625,,,,,,6.39,7.625,,,,4.428571428571426
2023-01-10,7.33,7.33,7.12,7.19,7.21,60337180,434935795.39,7.234,7.356999999999999,,,,,,,7.249850226083423,7.231348381099689,7.194783689638685,7.177472527472528,,,,,,,7.220555555555556,,52.70634912877034,75.08678199370043,,,-0.5199999999999996,,,,,,,,,,,,,,,,,,,,-48.13432835820895,,,,,,,,,,,,,,,,8.31570752,0.04,0,8.31570752,,,,,7.545,,,,,,6.39,7.545,,,,-6.62337662337662
2023-01-11,7.21,7.5,7.06,7.1,7.26,75234830,546321028.38,7.178,7.278999999999999,,,,,,,7.199900150722282,7.2021598519664245,7.17755029152256,7.166405023547881,,,,,,,7.19848148148148,55.85172682526765,50.328099482504754,75.76260766887567,,0.5886412804468872,-0.7800000000000002,,38.84701521614968,16.26071565153616,,38.84701521614968,16.26071565153616,0.0,28.57142857142857,28.57142857142857,28.57142857142857,0.0,,,,,,,,,-65.71428571428574,,,,,,,,,,,,,,,,8.2538792192,0.04,0,8.2538792192,,,,,7.465,,,,,,6.55,7.465,,,,-3.7940379403794022
2023-01-12,7.32,7.46,7.0,7.41,7.25,66386320,481170968.36,7.292,7.261,,,,,,,7.269933433814855,7.248346551529441,7.219813874882094,7.201204305898185,,,,,,,7.227037037037036,59.97873839581186,57.95242506248708,76.31266056416123,,0.5749467736100959,-0.17999999999999972,,35.53834189884848,15.986697494653486,,35.53834189884848,15.986697494653486,0.0,21.42857142857143,21.42857142857143,21.42857142857143,0.0,41.19276217076688,,41.19276217076688,,,,,,-62.57309941520466,,,,,,,,,,,,,,,,8.194524050432,0.04,0,8.194524050432,,,,,7.465,,,,,,6.41,7.465,,,,8.333333333333348
2023-01-13,7.36,7.39,7.22,7.27,7.28,37391380,272244955.17,7.256,7.265000000000001,,,,,,,7.269955622543237,7.2531584289673425,7.228938624903531,7.211032262198445,,,,,,,7.255407407407407,57.37041761322185,53.61631081742898,75.59853674603131,,0.535354058055982,0.03999999999999915,,34.24109013772974,15.403137025275377,,34.24109013772974,15.403137025275377,64.28571428571428,14.28571428571429,-49.999999999999986,14.28571428571429,64.28571428571428,33.650793650793645,,33.650793650793645,,,,,,-70.76023391812866,,,,,,,,,,,,,,,,8.13754308841472,0.04,0,8.13754308841472,,,,,7.465,,,,,,6.44,7.465,,,,-2.4161073825503476
