date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-03-16,10.78,10.78,10.78,10.78,10.78,77873,839470.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,13.3,,,,,
2023-03-17,11.85,11.85,11.85,11.85,11.85,79513,942229.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,,0.04,0,10.78,,,,,,,,,,,12.76,,,,,
2023-03-20,13.03,13.03,13.03,13.03,13.03,142132,1851979.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,,0.06,0,10.78,,,,,,,,,,,12.16,,,,,
2023-03-21,14.33,14.33,14.33,14.33,14.33,230407,3301732.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.915,,0.08,0,10.915,,,,,,,,,,,13.01,,,,,
2023-03-22,15.76,15.76,15.76,15.76,15.76,315155,4966842.8,13.15,,,,,,,,13.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.188199999999998,,0.1,0,11.188199999999998,,,,,,,,,,,13.1,,,,,
2023-03-23,17.33,17.33,17.33,17.33,17.33,835074,14471832.42,14.459999999999999,,,,,,,,14.543333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64538,,0.12000000000000001,0,11.64538,,,,,,,,,,,12.22,,,,,60.76066790352503
2023-03-24,19.06,19.06,19.06,19.06,19.06,3024345,57644015.7,15.902000000000001,,,,,,,,16.04888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3275344,,0.14,0,12.3275344,,,,,,,,,,,11.18,,,,,60.84388185654008
2023-03-27,20.96,20.96,20.2,20.96,20.93,161177900,3372969913.3,17.488,,,,,,,,17.68592592592593,15.387499999999998,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.270079584,,0.16,0,13.270079584,,,,,,,,,,,11.59,,,,,60.85955487336916
2023-03-28,20.54,23.04,19.69,22.6,22.43,298856100,6704537747.4,19.142000000000003,,,,,,,,19.323950617283955,16.990277777777777,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.500466850559999,,0.18,0,14.500466850559999,,,,,16.91,,,,,,11.1,16.91,,,,57.71109560362877
2023-03-29,22.6,23.78,20.34,20.34,21.38,336255100,7189806548.2,20.058,16.604,,,,,,,19.66263374485597,17.73466049382716,16.604,,,,,,,,,,74.57397280266092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0375828174592,,0.19999999999999998,0,16.0375828174592,,,,,17.815,,,,,,11.19,17.815,,,,29.060913705583747
