date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2022-11-16,7.85,7.85,7.85,7.85,7.85,172743,1355200.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,40.23,,,,,
2022-11-17,8.63,8.63,8.63,8.63,8.63,275477,2376108.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,,0.04,0,7.85,,,,,,,,,,,38.94,,,,,
2022-11-18,9.48,9.48,9.48,9.48,9.48,1248406,11841043.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,,0.06,0,7.85,,,,,,,,,,,36.35,,,,,
2022-11-21,10.43,10.43,10.43,10.43,10.43,2018624,21053784.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9478,,0.08,0,7.9478,,,,,,,,,,,32.92,,,,,
2022-11-22,11.47,11.47,11.47,11.47,11.47,1635733,18765341.62,9.572,,,,,,,,9.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.146376,,0.1,0,8.146376,,,,,,,,,,,36.21,,,,,
2022-11-23,12.62,12.62,12.62,12.62,12.62,3424136,43206193.19,10.526,,,,,,,,10.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.478738400000001,,0.12000000000000001,0,8.478738400000001,,,,,,,,,,,35.96,,,,,60.76433121019107
2022-11-24,13.87,13.87,13.87,13.87,13.87,2288018,31743595.65,11.574000000000002,,,,,,,,11.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.975689792,,0.14,0,8.975689792,,,,,,,,,,,35.16,,,,,60.71842410196986
2022-11-25,15.25,15.25,15.25,15.25,15.25,3196007,48743804.88,12.728,,,,,,,,12.871333333333334,11.2,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66089322112,,0.16,0,9.66089322112,,,,,,,,,,,34.09,,,,,60.86497890295357
2022-11-28,16.78,16.78,16.78,16.78,16.78,24409850,409484997.69,13.998000000000001,,,,,,,,14.174222222222225,12.44,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.555150305740801,,0.18,0,10.555150305740801,,,,,12.315000000000001,,,,,,32.92,12.315000000000001,,,,60.88207094918505
2022-11-29,18.45,18.45,18.14,18.45,18.43,12194600,224733429.78,15.394,12.483,,,,,,,15.599481481481483,13.775555555555554,12.483,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.675623250707456,,0.19999999999999998,0,11.675623250707456,,,,,13.54,,,,,,32.49,13.54,,,,60.85440278988665
2022-11-30,20.29,20.29,20.29,20.29,20.29,1918469,38919078.92,16.928,13.727,,,,,,,17.16298765432099,15.223209876543208,13.902454545454546,,,,,,,,19.740555555555556,,100.0,,,,12.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.030498600565965,,0.2,0,13.030498600565965,,,,,14.885,,,,,,29.25,14.885,,,,60.77654516640254
2022-12-01,22.31,22.31,22.31,22.31,22.31,2107919,47028326.34,18.616000000000003,15.095000000000002,,,,,,,18.878658436213993,16.79805212620027,15.431099173553719,,,,,,,,21.70874074074074,,100.0,,,,13.679999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.482398880452772,,0.2,0,14.482398880452772,,,,,16.369999999999997,,,,,,30.84,16.369999999999997,,,,60.8507570295602
2022-12-02,22.3,24.54,21.23,24.54,23.62,33299820,786417207.07,20.474,16.601,,,,,,,20.76577229080933,18.51848498704466,17.087262960180315,14.766923076923076,,,,,,,23.873777777777775,,100.0,,,,15.059999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04791910436222,,0.2,0,16.04791910436222,,,,,18.005,,,,,,31.09,18.005,,,,60.918032786885234
2022-12-05,24.63,26.99,24.5,26.99,26.24,11975720,314232354.17,22.516,18.256999999999998,,,,,,,22.840514860539557,20.401043878812512,18.887760603783892,16.513076923076923,,,,,,,26.256148148148146,,100.0,100.0,,,16.56,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,17.746335283489774,,0.2,0,17.746335283489774,,,,,19.805,,,,,,30.84,19.805,,,,60.846245530393304
2022-12-06,27.83,28.37,24.3,24.3,25.3,16332200,413194860.68,23.686,19.54,,,,,,,23.327009907026373,21.267478572409733,19.871804130368638,17.62549450549451,,,,,,,27.262333333333334,82.83617010359322,77.2597539730415,79.76179662761398,,1.9936111028226478,12.83,,79.69926339425471,0.0,,79.69926339425471,0.0,0.0,100.0,100.0,100.0,0.0,,,,,,,,,-20.618034447821685,,,,,,,,,,,,,,,19.59506822679182,,0.2,0,19.59506822679182,,,,,21.12,,,,,,31.7,21.12,,,,31.70731707317074
2022-12-07,23.21,26.72,22.04,26.72,24.82,19896760,493884340.59,24.971999999999998,20.95,,,,,,,24.45800660468425,22.479150000763127,21.116930652119795,18.92470957613815,,,,,,,27.76951851851852,85.28337433224657,81.6414594930718,64.45727794499159,,2.2795906188137436,14.1,,62.28081996124922,10.554012908623877,,62.28081996124922,10.554012908623877,0.0,92.85714285714286,92.85714285714286,92.85714285714286,0.0,90.21572841504583,,90.21572841504583,,,,,,-8.734780307040769,,,,,,,,,,,,,,,21.350054581433458,,0.2,0,21.350054581433458,,,,,21.810000000000002,,,,,,30.48,21.810000000000002,,,,31.69048792508624
2022-12-08,26.03,29.39,25.46,28.77,27.92,13083980,365351954.77,26.264,22.44,,,,,,,25.89533773645617,23.87711666726021,22.50839780627983,20.331179636689843,,,,,,,28.40048148148148,86.9772512597895,84.57821593607204,69.23909266664668,,2.4493392533180414,14.9,,63.21456799987867,8.81230295152328,,63.21456799987867,8.81230295152328,0.0,100.0,100.0,100.0,0.0,89.12571435034823,,89.12571435034823,,,,,,-3.270042194092837,,,,,,,,,,,,,,,22.04,,0.2,0,22.04,,,,,23.085,,,,,,28.7,23.085,,,,28.955625280143437
2022-12-09,28.5,31.58,27.67,31.08,30.07,7739561,232739202.47,27.571999999999996,24.023,,,,,,,27.623558490970783,25.477757407869053,24.066870932410772,21.86672540287701,,,,,,,29.814444444444447,88.5732712594546,87.25785973673088,71.79656675801117,,2.5949947190271234,15.829999999999998,,62.13210820128949,7.488244597345956,,62.13210820128949,7.488244597345956,0.0,100.0,100.0,100.0,0.0,95.16961742917624,91.50368673152343,95.16961742917624,91.50368673152343,,,,,-2.4863252113376477,,,,,,,,,,,,,,,22.04,,0.2,0,22.04,,,,,24.86,,,,,,29.19,24.86,,,,26.650366748166256
2022-12-12,31.51,34.17,31.51,34.17,33.44,6429768,215036453.72,29.008000000000003,25.762,,,,,,,29.80570566064719,27.409366872787043,25.903803490154267,23.624336059608865,,,,,,,32.291037037037036,90.28793321129429,89.97602429142566,74.0066020925028,,2.642998065426976,17.39,,64.59086756639226,6.639253106148766,,64.59086756639226,6.639253106148766,0.0,100.0,100.0,100.0,0.0,98.08121086485652,94.12551421479367,98.08121086485652,94.12551421479367,,,,,0.0,,,,,,,,,,,,,,,23.948,,0.2,0,23.948,,,,,27.23,,,,,,32.1,27.23,,,,26.6024453501297
2022-12-13,34.87,37.59,34.75,37.59,36.58,7735328,282961237.66,31.665999999999997,27.676,20.079500000000003,,,,,,32.40047044043146,29.67172978994548,28.0285664919444,25.619430908236172,20.079500000000003,,,,,,35.57262962962964,91.76146322973334,92.14085164448306,76.60122107245128,153.77307584152248,2.7164711505479824,19.140000000000004,,68.80630328558735,5.848854054578875,,68.80630328558735,5.848854054578875,0.0,100.0,100.0,100.0,0.0,99.17122492955411,97.47401774119562,99.17122492955411,97.47401774119562,,,,,0.0,0.5813941914469103,2.600481177423031,20.079500000000003,37.55851882257697,174.09814808712335,1.000900541893758,20.079500000000003,20.079500000000003,37.55851882257697,,,,,,25.9924,,0.2,0,25.9924,,25.457852676402045,22.720000000000002,1.413721681439117,29.410000000000004,,,,,,32.55,29.410000000000004,,,,54.69135802469136
2022-12-14,41.34,41.34,34.87,39.99,39.21,14121820,553760622.28,34.32,29.646000000000004,21.6865,21.027619047619048,,,,,34.93031362695431,31.964678725513153,30.203372584318146,27.67236934991672,21.9757380952381,21.027619047619048,,,,,39.04751851851852,92.60893312233857,93.32166992187211,80.71755865422483,152.48941451306771,3.063379400197363,19.700000000000003,,66.6890757527582,4.707161556915159,,66.6890757527582,4.707161556915159,0.0,100.0,100.0,100.0,0.0,98.27520122652356,98.50921234031141,98.27520122652356,98.50921234031141,,,,,-5.174396320429286,0.5817245863539177,3.1241787281331597,21.6865,40.24882127186684,171.18780136828755,0.9930283161228572,21.6865,21.6865,40.24882127186684,,,,,,28.31192,,0.2,0,28.31192,,27.229609737290954,24.985000000000003,2.4311877528034125,31.285000000000004,,,,,,31.64,31.285000000000004,,,,49.66317365269462
2022-12-15,39.99,42.02,37.18,38.95,39.54,10369230,410041971.74,36.35600000000001,31.310000000000002,23.2025,22.50857142857143,,,,,36.27020908463621,33.516972342065785,31.79366847807848,29.283459442785762,23.592334467120185,22.65692640692641,,,,,41.23955555555556,88.36693225314757,86.73352048332147,82.9207953798769,141.55705043060973,3.2242018452916756,16.640000000000004,,59.536099697619996,4.067523624265446,,59.536099697619996,4.067523624265446,0.0,100.0,100.0,100.0,0.0,94.2207902386736,97.22240546491709,94.2207902386736,97.22240546491709,,,,,-12.16323296354992,0.5117518453386434,4.20571092921227,23.2025,42.19928907078773,163.74777778935655,0.9144779399644882,23.2025,23.2025,42.19928907078773,,,,,,30.917536000000002,,0.2,0,30.917536000000002,,28.206823118679623,25.75,1.652349070141278,32.03,,,,,,30.86,32.03,,,,35.384080639555094
2022-12-16,39.26,39.33,35.06,35.06,35.92,9211725,330869133.6,37.152,32.362,24.481500000000004,23.767142857142858,,,,,35.86680605642414,33.85986737716228,32.38754693660967,30.1086795223878,24.684493089299217,23.78447855175128,,,,,40.754407407407406,74.60212817347889,66.30667721291636,74.93440757271354,105.75440864849334,3.3170954958869574,10.520000000000003,,52.72858732145126,9.279395164081347,,52.72858732145126,9.279395164081347,0.0,92.85714285714286,92.85714285714286,92.85714285714286,0.0,84.50554735760157,92.33384627426625,84.50554735760157,92.33384627426625,,,,,-29.145728643216085,0.4182045826194244,5.912889631962219,24.481500000000004,43.05011036803779,151.69503803310897,0.7848489948986382,24.481500000000004,24.481500000000004,43.05011036803779,,,,,,33.1380288,,0.2,0,33.1380288,,28.678078458551894,26.225,1.2527778004652954,32.03,,,,,,28.72,32.03,,,,12.80566280566282
2022-12-19,35.06,37.15,31.65,32.43,33.68,8216006,276695363.67,36.80400000000001,32.906,25.5815,24.860000000000003,,,,,34.72120403761609,33.542119071126216,32.395265675407906,30.440296733475257,25.422160414127863,24.57043504704662,,,,,37.872481481481486,67.00297540470778,55.91883521254653,69.405758889529,75.07162466431778,3.507677737363991,5.440000000000001,,45.51025566092017,16.49663405442881,,45.51025566092017,16.49663405442881,0.0,85.71428571428572,85.71428571428572,85.71428571428572,0.0,71.51950090941823,83.4152795018978,71.51950090941823,83.4152795018978,,,,,-44.1325356649793,0.36310608589090904,7.886865474246143,25.5815,43.276134525753854,138.3393039951047,0.6935191142273177,25.5815,25.5815,43.276134525753854,,,,,,,42.02,0.02,1,42.02,,28.934918352730804,26.745,0.9992953536753487,32.03,,,,,,28.91,32.03,,,,-5.092186128182618
2022-12-20,32.42,35.67,31.73,35.67,34.14,7503022,256147843.93,36.42,34.043,26.791500000000003,26.061904761904763,,,,,35.03746935841073,34.014981499764836,32.99067191624283,31.18739720012165,26.398145136591875,25.579486406406016,,,,,35.44537037037038,70.93134898592807,64.02027123755532,71.00497728885738,72.63153095298264,3.5448324300238943,11.370000000000001,,41.16299321245248,14.92083104674512,,41.16299321245248,14.92083104674512,0.0,78.57142857142857,78.57142857142857,78.57142857142857,0.0,65.3927350494247,73.80592777214817,65.3927350494247,73.80592777214817,,,,,-30.54353054353055,0.39253416611017633,9.827645160960603,26.791500000000003,43.7553548390394,126.6360960680768,0.7616887518857935,26.791500000000003,26.791500000000003,43.7553548390394,,,,,,,41.8126,0.02,0,41.8126,,29.290389099255556,27.32,0.8870626124167134,33.74,,,,,,28.1,33.74,,,,-5.107741420590584
2022-12-21,36.56,39.23,35.73,39.23,38.12,6955621,265174773.44,36.268,35.294,28.121999999999996,27.38380952380952,,,,,36.43497957227382,35.17387449981709,34.12509520419868,32.33634045724713,27.620226552154552,26.82044218764183,,,,,35.40714814814816,74.52069444536598,70.88057719454484,72.62078411545862,96.80055314601799,3.546117314931813,12.509999999999998,,46.16674421772264,13.651899681504108,,46.16674421772264,13.651899681504108,7.14285714285714,71.42857142857143,64.28571428571429,71.42857142857143,7.14285714285714,70.63467345719224,69.18230313867838,70.63467345719224,69.18230313867838,,,,,-13.419913419913442,0.42222230273982797,11.645701143764093,28.121999999999996,44.5982988562359,117.17729077758271,0.8370902681762135,28.121999999999996,28.121999999999996,44.5982988562359,9.00039652527786,,,9.00039652527786,,,41.609348000000004,0.02,0,41.609348000000004,,29.84998694409811,27.945,0.8843344149095324,34.845,24.935000000000002,29.89,,,,28.53,34.845,24.935000000000002,29.89,,-1.9004751187797098
2022-12-22,40.22,42.43,38.16,40.23,40.56,9848097,399426996.6,36.524,36.440000000000005,29.439999999999998,28.698571428571427,,,,,37.69998638151588,36.29745794430218,35.23507789434437,33.464006106211826,28.82115735671126,28.039492897856206,,,,,37.34955555555556,75.43815225470648,72.59312205662538,72.21942758035469,106.3967765777364,3.6066354023732043,11.459999999999997,,49.01483324955742,12.300649616570126,,49.01483324955742,12.300649616570126,0.0,100.0,100.0,100.0,0.0,81.74898443003723,72.59213097888473,81.74898443003723,72.59213097888473,,,,,-10.789602746444348,0.3959208451835576,13.527213946011823,29.439999999999998,45.35278605398817,108.10316612763705,0.8390355392007466,29.439999999999998,29.439999999999998,45.35278605398817,8.913734600941886,,,8.913734600941886,,31.65,,0.02,1,31.65,,30.581084158305384,28.84,1.2551038155428123,36.97,25.53,31.25,,,,28.11,36.97,25.53,31.25,,3.2862644415917686
