date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-01-18,13.42,13.42,13.42,13.42,13.42,20297,272349.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,38.78,,,,,
2023-01-19,14.76,14.76,14.76,14.76,14.76,194915,2876000.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42,,0.04,0,13.42,,,,,,,,,,,39.33,,,,,
2023-01-20,16.23,16.23,16.23,16.23,16.23,52707,855367.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42,,0.06,0,13.42,,,,,,,,,,,43.25,,,,,
2023-01-23,17.85,17.85,17.85,17.85,17.85,354927,6334971.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5886,,0.08,0,13.5886,,,,,,,,,,,47.56,,,,,
2023-01-24,19.61,19.61,19.61,19.61,19.61,10501470,205986229.04,16.374000000000002,,,,,,,,16.374000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.929511999999999,,0.1,0,13.929511999999999,,,,,,,,,,,44.99,,,,,
2023-01-25,21.57,21.57,21.57,21.57,21.57,589973,12723782.5,18.003999999999998,,,,,,,,18.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.497560799999999,,0.12000000000000001,0,14.497560799999999,,,,,,,,,,,47.82,,,,,60.73025335320417
2023-01-26,23.71,23.71,23.71,23.71,23.71,934354,22156934.39,19.794,,,,,,,,19.974000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.346253504,,0.14,0,15.346253504,,,,,,,,,,,50.94,,,,,60.636856368563684
2023-01-27,26.08,26.08,26.06,26.08,26.08,78955020,2058771095.7,21.764000000000003,,,,,,,,22.009333333333338,19.15375,,,,,,,,,,,100.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51717801344,,0.16,0,16.51717801344,,,,,,,,,,,52.45,,,,,60.690080098582854
2023-01-30,28.67,28.67,28.3,28.67,28.66,88361190,2532805473.23,23.928,,,,,,,,24.22955555555556,21.268472222222222,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0472295312896,,0.18,0,18.0472295312896,,,,,21.045,,,,,,51.48,21.045,,,,60.616246498599445
2023-01-31,28.57,30.23,25.82,26.52,28.01,300831500,8426410647.6,25.31,20.842000000000002,,,,,,,24.99303703703704,22.43547839506173,20.842,,,,,,,,,,80.2092299723419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95932821565747,,0.19999999999999998,0,19.95932821565747,,,,,22.495,,,,,,52.36,22.495,,,,35.23712391636919
2023-02-01,26.84,27.75,24.94,25.51,26.25,92932460,2439107203.81,26.098000000000003,22.051000000000002,,,,,,,25.165358024691365,23.118705418381346,21.690727272727273,,,,,,,,28.924074074074074,,72.360588579172,,,,12.090000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.013462572525977,,0.19999999999999998,0,22.013462572525977,,,,,23.23,,,,,,57.58,23.23,,,,18.266110338433016
2023-02-02,25.8,26.29,22.99,24.03,24.37,89047900,2170220209.1,26.162,22.978,,,,,,,24.786905349794246,23.321215325407714,22.11604958677686,,,,,,,,27.280333333333335,,61.990501147182115,,,,9.270000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23,0.02,1,30.23,,,,,24.04,,,,,,63.33,24.04,,,,1.349641501476162
2023-02-03,24.24,26.43,23.15,26.0,24.78,84797650,2100977103.55,26.145999999999997,23.955000000000002,,,,,,,25.191270233196164,23.916500808650444,22.822222389181064,21.84307692307692,,,,,,,25.965407407407408,,68.90970949082774,,,,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0852,0.02,0,30.0852,,,,,24.92,,,,,,57.04,24.92,,,,-0.30674846625766694
2023-02-06,25.18,26.84,23.93,26.58,25.54,15353650,392154330.26,25.727999999999998,24.828,,,,,,,25.65418015546411,24.508389517839234,23.505454682057234,22.51978021978022,,,,,,,25.60229629629629,,70.73931440847092,35.76188559136095,,,8.729999999999997,,,,,,,,,,,,,,,,,,,,-21.713265913146962,,,,,,,,,,,,,,,,29.943296,0.02,0,29.943296,,,,,25.9,,,,,,61.48,25.9,,,,-7.289850017439847
2023-02-07,25.67,26.15,23.93,23.93,24.88,30588880,761105170.83,25.21,25.259999999999998,,,,,,,25.079453436976078,24.37985851387496,23.58264473986501,22.721240188383046,,,,,,,25.164222222222218,62.61870571692444,53.847901098010496,34.56568219989046,,2.6425955897224918,4.32,,35.30150919925103,16.44236767805606,,35.30150919925103,16.44236767805606,0.0,64.28571428571428,64.28571428571428,64.28571428571428,0.0,,,,,,,,,-40.723981900452486,,,,,,,,,,,,,,,,29.80423008,0.02,0,29.80423008,,,,,26.61,,,,,,59.04,26.61,,,,-9.766214177978883
2023-02-15,23.91,26.31,23.01,26.31,25.64,42563380,1091283776.72,25.369999999999997,25.734,,,,,,,25.48963562465072,24.808778844124966,24.07852751443501,23.233920161471183,,,,,,,25.319185185185187,67.71462412206724,63.084154418204086,37.6182697385776,,2.7125795727783752,4.739999999999998,,30.729671879235315,17.92347865226326,,30.729671879235315,17.92347865226326,0.0,57.14285714285714,57.14285714285714,57.14285714285714,0.0,69.85425072880018,,69.85425072880018,,,,,,-28.000000000000014,,,,,,,,,,,,,,,,29.6679454784,0.02,0,29.6679454784,,,,,26.61,,,,,,60.85,26.61,,,,3.1360250882007
2023-02-16,27.23,28.16,24.1,24.49,25.65,56050210,1437565136.54,25.461999999999996,25.812,,,,,,,25.15642374976715,24.737939100986083,24.153340693628643,23.41336013840387,,,,,,,25.086666666666662,60.87989735857505,53.52718859024276,41.28431214399701,,2.851165053587791,0.7799999999999976,,32.90267033550982,15.298410500247442,,32.90267033550982,15.298410500247442,0.0,50.0,50.0,50.0,0.0,61.636971030489974,,61.636971030489974,,,,,,-46.36510500807757,,,,,,,,,,,,,,,,29.534386568832,0.02,0,29.534386568832,,,,,26.61,,,,,,62.36,26.61,,,,1.9142738243861812
2023-02-17,24.26,25.61,23.32,25.0,24.29,48296520,1173329179.91,25.261999999999997,25.704,,,,,,,25.104282499844768,24.79617485632251,24.307278749332525,23.640022975774748,,,,,,,24.94314814814815,62.036252492437775,55.72024851844061,39.449953515279674,,2.7952062983424915,-1.0799999999999983,,30.214664606274674,16.831243897502034,,30.214664606274674,16.831243897502034,0.0,42.85714285714286,42.85714285714286,42.85714285714286,0.0,58.79606355349077,63.429095104260306,58.79606355349077,63.429095104260306,,,,,-49.2467043314501,,,,,,,,,,,,,,,,29.403498837455363,0.02,0,29.403498837455363,,,,,26.61,,,,,,59.24,26.61,,,,-3.8461538461538436
2023-02-20,25.14,27.5,24.65,27.5,26.33,55991010,1474076440.09,25.445999999999998,25.587,,,,,,,25.902854999896512,25.39702488825084,24.887773522181156,24.191448264949784,,,,,,,25.609370370370367,67.16062452756461,65.1307161172091,42.532216243802125,,2.800519940726318,-1.1700000000000017,,33.77744133150126,15.170188619172826,,33.77744133150126,15.170188619172826,0.0,35.71428571428571,35.71428571428571,35.71428571428571,0.0,57.62131374594651,59.351449443309086,57.62131374594651,59.351449443309086,,,,,-31.5242494226328,,,,,,,,,,,,,,,,29.275228860706257,0.02,0,29.275228860706257,,,,,25.575,,,,,,53.33,25.575,,,,3.4612490594432055
2023-02-21,27.73,29.96,27.03,28.2,28.95,68776020,1991076783.16,26.3,25.755000000000003,23.2985,,,,,,26.66856999993101,26.01990824641732,25.489996518148217,24.7640985128141,23.298499999999997,,,,,,26.813074074074077,68.44497292469354,67.39433794380636,46.86810749213853,93.74120181655704,2.812763538834881,1.6799999999999997,,38.72037865067896,13.675910100225611,,38.72037865067896,13.675910100225611,0.0,28.57142857142857,28.57142857142857,28.57142857142857,0.0,63.73012407092264,60.04916712345331,63.73012407092264,60.04916712345331,,,,,-28.03867403314918,-0.026477574079728856,14.43483647976188,23.2985,32.162163520238124,76.08784703082277,0.7764940246664688,23.2985,23.2985,32.162163520238124,,,,,,22.99,,0.02,1,22.99,,26.23169974558123,21.825,1.4071170168703229,26.475,,,,,,52.55,26.475,,,,17.84371082323444
2023-02-22,28.22,30.8,27.21,30.31,28.61,59009700,1688184903.42,27.1,26.234999999999996,24.142999999999997,23.632380952380952,,,,,27.882379999954008,26.97326196943569,26.366360787575815,25.556370153840657,23.966261904761904,23.632380952380952,,,,,28.688999999999997,71.99979790504987,73.45448547657573,50.15493407067086,115.6602358912248,2.8845972055311777,4.799999999999997,,36.95799273380522,12.102867888237437,,36.95799273380522,12.102867888237437,35.71428571428571,100.0,64.28571428571429,100.0,35.71428571428571,78.0543562872532,66.46859803470745,78.0543562872532,66.46859803470745,,,,,-6.274007682458416,0.01594056452263366,16.01729486136741,24.142999999999997,32.26870513863258,67.31313539023806,0.8794747590999714,24.142999999999997,24.142999999999997,32.26870513863258,,,,,,23.129399999999997,,0.04,0,23.129399999999997,,26.46140542820006,22.78,1.1259069373422388,26.905,,,,,,52.31,26.905,,,,15.203344735841885
2023-02-23,30.27,33.34,29.86,33.34,32.13,51240220,1646474831.94,28.870000000000005,27.165999999999997,25.072,24.580952380952382,,,,,29.701586666636008,28.388092642894424,27.634295189834756,26.668317274720565,24.858998866213152,24.514891774891776,,,,,31.232259259259262,76.15418282145866,79.75764362081806,50.11128688488209,178.2773386034256,2.9384939875639318,9.310000000000002,,40.82056706961612,10.805405737822532,,40.82056706961612,10.805405737822532,28.57142857142857,100.0,71.42857142857143,100.0,28.57142857142857,88.5624394281308,76.78230659543554,88.5624394281308,76.78230659543554,,,,,0.0,0.06716386529535005,17.205377853233315,25.072,32.93862214676668,62.7522506921401,1.0255114486081103,25.072,25.072,32.93862214676668,,,,,,23.436223999999996,,0.06,0,23.436223999999996,,26.820511076937798,24.785000000000004,1.0410316609384829,28.175000000000004,,,,,,51.57,28.175000000000004,,,,36.137198856676214
