date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2022-08-17,11.45,11.45,11.45,11.45,11.45,420486,4813955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,12.89,,,,,
2022-08-18,12.58,12.58,12.58,12.58,12.58,610810,7686927.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.45,,0.04,0,11.45,,,,,,,,,,,14.0,,,,,
2022-08-19,13.84,13.84,13.38,13.84,13.82,33292280,460207176.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.45,,0.06,0,11.45,,,,,,,,,,,13.46,,,,,
2022-08-22,13.78,13.79,12.55,12.65,12.87,41691900,536508045.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.593399999999999,,0.06,0,11.593399999999999,,,,,,,,,,,13.43,,,,,
2022-08-23,12.6,12.78,12.32,12.42,12.47,16497680,205777047.43,12.588,,,,,,,,12.588000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.728195999999999,,0.06,0,11.728195999999999,,,,,,,,,,,12.96,,,,,
2022-08-24,12.46,13.36,12.29,12.96,12.82,27121900,347746424.26,12.89,,,,,,,,12.712000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.854904239999998,,0.06,0,11.854904239999998,,,,,,,,,,,13.45,,,,,13.187772925764207
2022-08-25,12.94,13.09,12.66,12.72,12.85,9341623,119997631.41,12.918000000000001,,,,,,,,12.71466666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.974009985599999,,0.06,0,11.974009985599999,,,,,,,,,,,13.96,,,,,1.1128775834658322
2022-08-26,12.73,12.79,12.46,12.51,12.57,4623310,58112833.74,12.652000000000001,,,,,,,,12.646444444444448,12.64125,,,,,,,,,,,54.27507600095263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.085969386463999,,0.06,0,12.085969386463999,,,,,,,,,,,14.01,,,,,-9.609826589595372
2022-08-29,12.47,12.69,12.32,12.33,12.41,3975765,49350932.4,12.588,,,,,,,,12.540962962962967,12.572083333333333,,,,,,,,,,,50.2627693064481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19121122327616,,0.06,0,12.19121122327616,,,,,12.645,,,,,,13.91,12.645,,,,-2.529644268774711
2022-08-31,12.34,12.44,12.21,12.28,12.31,3459281,42586412.76,12.56,12.574,,,,,,,12.45397530864198,12.507175925925926,12.574,,,,,,,,,,49.08678226753322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84,0.02,1,13.84,,,,,13.025,,,,,,14.51,13.025,,,,-1.1272141706924366
2022-09-01,12.28,12.29,12.11,12.15,12.16,2735674,33275999.9,12.398,12.644,,,,,,,12.352650205761321,12.427803497942387,12.49690909090909,,,,,,,,12.164666666666667,,45.83393687330082,,,,0.7000000000000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8074,0.04,0,13.8074,,,,,12.975,,,,,,14.55,12.975,,,,-6.25
2022-09-02,12.17,12.67,12.14,12.25,12.39,6376044,78974956.19,12.303999999999998,12.611,,,,,,,12.31843347050755,12.388291609510745,12.452016528925618,,,,,,,,12.095925925925926,,48.874406423736204,,,,-0.33000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.739504,0.04,0,13.739504,,,,,12.95,,,,,,14.7,12.95,,,,-3.6949685534591215
2022-09-05,12.32,12.4,12.21,12.27,12.28,3269774,40144159.82,12.256,12.453999999999999,,,,,,,12.302288980338368,12.362004585175024,12.418922614575505,12.493076923076924,,,,,,,12.109074074074073,,49.5353696065836,,,,-1.5700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.67432384,0.04,0,13.67432384,,,,,12.735,,,,,,15.0,12.735,,,,-1.918465227817745
2022-09-06,12.28,12.31,12.06,12.1,12.17,3178929,38673705.8,12.209999999999999,12.399000000000001,,,,,,,12.23485932022558,12.303781344025017,12.360936684652685,12.436923076923078,,,,,,,12.109962962962962,,43.906359251198786,45.26632743027384,,,-0.5500000000000007,,,,,,,,,,,,,,,,,,,,-72.80334728033472,,,,,,,,,,,,,,,,13.6117508864,0.06,0,13.6117508864,,,,,12.71,,,,,,14.96,12.71,,,,-1.8653690186536953
2022-09-07,12.16,12.21,12.03,12.1,12.12,2313111,28027827.2,12.174,12.367,,,,,,,12.18990621348372,12.258496600908346,12.313493651079469,12.38879120879121,,,,,,,12.09725925925926,50.479125342553445,43.90635925119879,44.686611056870454,,0.47044977017211886,-0.3200000000000003,,36.47068026116469,23.640245447821023,,36.47068026116469,23.640245447821023,0.0,14.28571428571429,14.28571428571429,14.28571428571429,0.0,,,,,,,,,-96.13259668508286,,,,,,,,,,,,,,,,13.518645833215999,0.08,0,13.518645833215999,,,,,12.559999999999999,,,,,,16.45,12.559999999999999,,,,-1.4657980456026065
