date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-05-10,24.25,24.25,23.76,24.25,24.24,17311890,419584988.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,21.64,,,,,
2023-05-11,23.23,25.23,21.83,22.09,22.53,73000870,1645039565.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.83,,0.02,1,21.83,,,,,,,,,,,20.91,,,,,
2023-05-12,22.09,22.93,21.09,21.46,21.94,19647640,431081599.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.23,0.02,1,25.23,,,,,,,,,,,20.01,,,,,
2023-05-15,20.87,22.01,19.41,21.09,21.39,8344086,178503362.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.23,0.04,0,25.23,,,,,,,,,,,21.74,,,,,
2023-05-16,20.95,22.13,20.87,21.33,21.4,13052630,279296260.95,22.044,,,,,,,,22.044000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9972,0.04,0,24.9972,,,,,,,,,,,21.87,,,,,
2023-05-17,21.31,22.56,21.17,22.03,21.84,15266700,333405033.96,21.6,,,,,,,,22.03933333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.773712,0.04,0,24.773712,,,,,,,,,,,22.01,,,,,-9.154639175257728
2023-05-18,22.01,22.4,21.03,21.93,21.7,7834775,170049482.25,21.568,,,,,,,,22.002888888888894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55916352,0.04,0,24.55916352,,,,,,,,,,,22.21,,,,,-0.7243096423721118
2023-05-22,21.83,22.31,21.46,21.62,21.82,7344014,160232652.17,21.6,,,,,,,,21.875259259259266,21.975,,,,,,,,,,,27.623253613324255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3531969792,0.04,0,24.3531969792,,,,,,,,,,,22.29,,,,,0.7455731593662529
2023-05-23,21.58,23.01,21.27,22.25,21.89,8087128,177016637.78,21.832,,,,,,,,22.000172839506178,22.03611111111111,,,,,,,,,,,44.54380763239469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.155469100032,0.04,0,24.155469100032,,,,,22.32,,,,,,22.34,22.32,,,,5.500237079184456
2023-05-24,22.64,23.03,21.52,22.05,22.18,9206991,204208758.63,21.976,22.009999999999998,,,,,,,22.016781893004122,22.039197530864197,22.01,,,,,,,,,,40.99424645034637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.96565033603072,0.04,0,23.96565033603072,,,,,22.32,,,,,,23.93,22.32,,,,3.3755274261603407
2023-05-25,22.03,22.05,21.5,21.5,21.66,1665561,36083146.55,21.869999999999997,21.735,,,,,,,21.84452126200275,21.91937585733882,21.917272727272728,,,,,,,,22.00714814814815,,32.647507329269125,,,,-2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.78342432258949,0.04,0,23.78342432258949,,,,,21.22,,,,,,23.7,21.22,,,,-2.4058102587380947
