date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2022-12-15,15.27,15.27,15.27,15.27,15.27,39768,607253.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,29.33,,,,,
2022-12-16,16.79,16.79,16.79,16.79,16.79,29355,493015.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27,,0.04,0,15.27,,,,,,,,,,,28.37,,,,,
2022-12-19,18.47,18.47,18.47,18.47,18.47,41683,769744.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27,,0.06,0,15.27,,,,,,,,,,,28.82,,,,,
2022-12-20,20.29,20.29,20.29,20.29,20.29,42165,855726.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.462,,0.08,0,15.462,,,,,,,,,,,28.53,,,,,
2022-12-21,22.31,22.31,22.31,22.31,22.31,60443,1348395.08,18.625999999999998,,,,,,,,18.625999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84824,,0.1,0,15.84824,,,,,,,,,,,30.52,,,,,
2022-12-22,24.54,24.54,24.54,24.54,24.54,88168,2163417.01,20.48,,,,,,,,20.59733333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.494416,,0.12000000000000001,0,16.494416,,,,,,,,,,,30.56,,,,,60.707269155206276
2022-12-23,26.98,26.98,26.98,26.98,26.98,168338,4541996.6,22.517999999999997,,,,,,,,22.724888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45988608,,0.14,0,17.45988608,,,,,,,,,,,29.33,,,,,60.690887432995844
2022-12-26,29.68,29.68,29.68,29.68,29.68,151649,4500874.08,24.759999999999998,,,,,,,,25.04325925925926,21.791249999999998,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7927020288,,0.16,0,18.7927020288,,,,,,,,,,,26.39,,,,,60.693015701136986
2022-12-27,32.63,32.63,31.19,32.63,32.61,12221920,398597021.32,27.227999999999998,,,,,,,,27.572172839506173,24.19986111111111,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.534669704192,,0.18,0,20.534669704192,,,,,23.950000000000003,,,,,,25.32,23.950000000000003,,,,60.81813701330707
2022-12-28,31.09,35.88,29.56,35.0,34.51,18680560,644753924.23,29.766,24.195999999999998,,,,,,,30.04811522633745,26.599891975308644,24.195999999999998,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.711829157437442,,0.19999999999999998,0,22.711829157437442,,,,,26.335,,,,,,23.95,26.335,,,,56.88032272523533
2022-12-29,34.9,38.5,33.24,38.5,35.92,13771130,494611616.91,32.55800000000001,26.519,,,,,,,32.865410150891634,29.244360425240053,26.79672727272727,,,,,,,,37.74203703703704,,100.0,,,,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.345463325949954,,0.2,0,25.345463325949954,,,,,28.485,,,,,,25.03,28.485,,,,56.886715566422176
2022-12-30,39.98,40.77,34.67,34.67,37.33,11385270,425036038.17,34.096,28.307,,,,,,,33.46694010059443,30.450058108520043,28.228231404958674,,,,,,,,38.88740740740741,,75.85335804710135,,,,17.880000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.97637066075996,,0.2,0,27.97637066075996,,,,,30.53,,,,,,23.93,30.53,,,,28.50259451445516
2023-01-02,33.34,34.67,31.56,33.16,32.87,2201209,72350305.94,34.792,29.776,,,,,,,33.36462673372962,31.05226741773781,29.124916604057095,26.791538461538458,,,,,,,37.96199999999999,,68.27078501376677,,,,14.689999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.53509652860797,,0.2,0,30.53509652860797,,,,,31.54,,,,,,21.55,31.54,,,,11.725067385444742
