date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-02-06,33.78,33.78,33.78,33.78,33.78,6650,224638.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,62.9,,,,,
2023-02-07,37.15,37.15,37.15,37.15,37.15,110588,4108161.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.78,,0.04,0,33.78,,,,,,,,,,,60.43,,,,,
2023-02-15,40.85,40.85,40.85,40.85,40.85,41452,1693450.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.78,,0.06,0,33.78,,,,,,,,,,,59.54,,,,,
2023-02-16,44.93,44.93,44.93,44.93,44.93,47083,2115658.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2042,,0.08,0,34.2042,,,,,,,,,,,65.48,,,,,
2023-02-17,49.41,49.41,40.46,40.46,44.21,17568540,776644366.25,39.434000000000005,,,,,,,,39.434000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.062264,,0.1,0,35.062264,,,,,,,,,,,72.02,,,,,
2023-02-20,37.09,40.0,36.81,37.54,38.15,18278220,697402376.8,40.186,,,,,,,,38.80266666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4970376,,0.1,0,36.4970376,,,,,,,,,,,66.07,,,,,11.130846654825334
2023-02-21,37.76,39.92,37.39,38.1,38.63,9718964,375408202.29,40.376,,,,,,,,38.568444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.41,0.02,1,49.41,,,,,,,,,,,65.93,,,,,2.5572005383580176
2023-02-22,38.1,38.87,37.11,37.37,37.86,5471846,207167427.39,39.68,,,,,,,,38.168962962962965,38.7725,,,,,,,,,,,50.17663527913698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.169599999999996,0.04,0,49.169599999999996,,,,,,,,,,,72.51,,,,,-8.51897184822522
2023-02-23,38.4,41.09,37.68,40.5,40.18,12038360,483673375.8,38.794,,,,,,,,38.94597530864198,39.15638888888889,,,,,,,,,,,62.247530454194866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.68721599999999,0.04,0,48.68721599999999,,,,,41.595,,,,,,65.28,41.595,,,,-9.859781882928997
2023-02-24,40.22,42.79,38.91,39.92,40.84,6447183,263280001.75,38.68599999999999,39.06,,,,,,,39.27065020576132,39.326080246913584,39.06,,,,,,,,,,59.14948464058548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22412735999999,0.04,0,48.22412735999999,,,,,43.11,,,,,,62.56,43.11,,,,-1.3346515076618881
