date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2022-01-03,1871.25,1926.66,1864.79,1926.66,9.56,2294102000,21926981033.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,2007.14,,,,,
2022-01-04,1941.26,1978.12,1925.22,1963.59,10.57,3089630000,32667275916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978.12,0.02,1,1978.12,,,,,,,,,,,2042.85,,,,,
2022-01-05,1965.52,2006.79,1954.74,2005.29,11.49,2388008000,27449650478.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925.22,,0.02,1,1925.22,,,,,,,,,,,2038.67,,,,,
2022-01-06,1993.06,2021.77,1977.66,2007.55,11.19,2926994000,32739569417.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925.22,,0.04,0,1925.22,,,,,,,,,,,2051.05,,,,,
2022-01-07,2020.27,2036.08,1994.45,2033.32,10.01,3497541000,35006503139.49,1987.282,,,,,,,,1987.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929.082,,0.06,0,1929.082,,,,,,,,,,,2001.94,,,,,
2022-01-10,2049.54,2071.81,2045.16,2045.16,10.83,3135730000,33951646215.5,2010.982,,,,,,,,2006.5746666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.50188,,0.08,0,1935.50188,,,,,,,,,,,2038.16,,,,,6.150540313288277
2022-01-11,2060.08,2068.17,2017.99,2046.03,10.84,3872105000,41963279679.65,2027.47,,,,,,,,2019.7264444444447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.4065296,,0.08,0,1946.4065296,,,,,,,,,,,2041.43,,,,,4.1984324629887215
2022-01-12,2070.35,2074.76,2055.66,2064.21,11.48,3254102000,37348662835.82,2039.2540000000001,,,,,,,,2034.5542962962966,2011.47625,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.438807232,,0.1,0,1956.438807232,,,,,,,,,,,2009.99,,,,,2.9382283859192393
2022-01-13,2057.47,2086.96,2054.48,2070.65,11.81,3395598000,40094270416.56,2051.874,,,,,,,,2046.5861975308646,2024.6259722222221,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.2709265088001,,0.12000000000000001,0,1968.2709265088001,,,,,1975.875,,,,,,2032.44,1975.875,,,,3.1431346666334736
2022-01-14,2071.35,2081.07,2049.32,2072.93,10.25,3212725000,32939555389.0,2059.796,2023.539,,,,,,,2055.3674650205767,2035.360200617284,2023.539,,,,,,,,,,100.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.5136153277442,,0.12000000000000001,0,1982.5136153277442,,,,,2006.0900000000001,,,,,,2038.06,2006.0900000000001,,,,1.9480455609544922
