date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-05-05,14.72,14.72,14.72,14.72,14.72,722044,10628870.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,20.02,,,,,
2023-05-08,16.19,16.19,16.19,16.19,16.19,3528606,57119838.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72,,0.04,0,14.72,,,,,,,,,,,20.47,,,,,
2023-05-09,17.8,17.8,14.57,14.57,15.28,228068200,3485532090.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,0.02,1,17.8,,,,,,,,,,,20.76,,,,,
2023-05-10,14.54,14.91,13.43,13.48,13.99,151962300,2125548357.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,0.04,0,17.8,,,,,,,,,,,22.41,,,,,
2023-05-11,13.48,14.12,13.41,13.54,13.68,106460700,1456209909.67,14.5,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,0.06,0,17.8,,,,,,,,,,,21.11,,,,,
2023-05-12,13.59,13.72,13.38,13.38,13.49,58126740,784136697.81,14.232,,,,,,,,14.126666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5366,0.08,0,17.5366,,,,,,,,,,,21.19,,,,,-9.103260869565212
2023-05-15,13.38,14.7,12.71,14.25,14.02,71643400,1004450498.08,13.844,,,,,,,,14.167777777777781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.204072,0.1,0,17.204072,,,,,,,,,,,20.16,,,,,-11.982705373687462
2023-05-16,14.25,15.24,14.03,15.1,14.81,64253210,951798863.03,13.95,,,,,,,,14.478518518518522,14.403750000000002,,,,,,,,,,,60.363001462408796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7546648,0.1,0,16.7546648,,,,,,,,,,,20.71,,,,,3.6376115305422063
2023-05-17,15.14,16.61,15.14,16.61,15.94,58340930,930082190.84,14.575999999999999,,,,,,,,15.189012345679014,14.89402777777778,,,,,,,,,,,73.21413016116362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71,,0.02,1,12.71,,,,,15.255,,,,,,20.92,15.255,,,,23.21958456973292
2023-05-18,16.67,16.92,15.34,15.66,15.85,71723250,1136555308.8,15.0,14.75,,,,,,,15.346008230452679,15.064243827160496,14.750000000000004,,,,,,,,,,59.140164473908996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.788,,0.04,0,12.788,,,,,15.255,,,,,,21.08,15.255,,,,15.657311669128514
2023-05-22,15.6,16.83,15.1,16.22,16.15,83677660,1351037742.17,15.568000000000001,14.9,,,,,,,15.637338820301787,15.32107853223594,15.01727272727273,,,,,,,,16.557037037037038,,63.91112803597742,,,,1.4999999999999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95328,,0.04,0,12.95328,,,,,15.255,,,,,,20.91,15.255,,,,21.225710014947662
2023-05-23,16.15,17.24,15.93,16.58,16.53,67186680,1110680475.62,16.034,14.938999999999998,,,,,,,15.951559213534525,15.60083885840573,15.301404958677686,,,,,,,,16.843555555555557,,66.81706103777607,,,,0.389999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1119488,,0.06,0,13.1119488,,,,,14.975,,,,,,20.96,14.975,,,,16.35087719298245
2023-05-24,16.57,16.92,15.89,16.42,16.43,48162290,791540011.81,16.298000000000002,15.124,,,,,,,16.107706142356353,15.782874667648901,15.504785875281744,15.132307692307695,,,,,,,16.880777777777777,,64.13912859660685,,,,1.8500000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.359631872,,0.06,0,13.359631872,,,,,14.975,,,,,,20.75,14.975,,,,8.74172185430464
2023-05-25,16.51,18.06,16.5,17.49,17.47,115793000,2022999818.19,16.473999999999997,15.525,,,,,,,16.568470761570904,16.16223585261581,15.865733897957789,15.469120879120883,,,,,,,17.14533333333333,,72.68151845645963,44.96518463182686,,,4.009999999999998,,,,,,,,,,,,,,,,,,,,-10.65420560747664,,,,,,,,,,,,,,,13.59245395968,,0.08,0,13.59245395968,,,,,15.385,,,,,,20.71,15.385,,,,5.298013245033117
2023-05-26,17.54,18.27,16.98,17.74,17.56,67609020,1187012240.23,16.889999999999997,15.944999999999999,,,,,,,16.958980507713935,16.512850107590076,16.206509552874554,15.793532182103615,,,,,,,17.53633333333333,68.94007161887696,74.34721574488522,49.00063710263468,,1.4349746116237867,4.199999999999999,,31.70999774926007,10.855583801231576,,31.70999774926007,10.855583801231576,42.85714285714286,100.0,57.14285714285714,100.0,42.85714285714286,,,,,,,,,-9.532374100719442,,,,,,,,,,,,,,,13.9498576429056,,0.1,0,13.9498576429056,,,,,15.49,,,,,,21.86,15.49,,,,13.282247765006371
2023-05-29,18.21,19.48,18.14,19.38,19.05,61120820,1164398072.82,17.522,16.544999999999998,,,,,,,17.765987005142623,17.149994528125614,16.783507815988273,16.305884727517384,,,,,,,18.397259259259258,75.56308828609147,82.50925218994443,52.520638747047116,,1.4674460877471736,5.999999999999998,,36.485204091732804,9.485313261182911,,36.485204091732804,9.485313261182911,35.71428571428571,100.0,64.28571428571429,100.0,35.71428571428571,92.77877180578594,,92.77877180578594,,,,,,-1.4771048744461113,,,,,,,,,,,,,,,14.38187187861504,,0.12000000000000001,0,14.38187187861504,,,,,16.755,,,,,,23.49,16.755,,,,19.48212083847103
