date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-03-24,6.27,6.27,6.27,6.27,6.27,117634,737663.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,7.16,,,,,
2023-03-27,6.9,6.9,6.9,6.9,6.9,338649,2334984.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,,0.04,0,5.39,,,,,,,,,,,7.1,,,,,
2023-03-28,7.58,7.58,7.58,7.58,7.58,251777,1909308.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4504,,0.06,0,5.4504,,,,,,,,,,,6.82,,,,,
2023-03-29,8.34,8.34,8.34,8.34,8.34,522429,4357928.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.578176,,0.08,0,5.578176,,,,,,,,,,,7.22,,,,,
2023-03-30,9.18,9.18,9.18,9.18,9.18,1066329,9784456.83,7.653999999999999,,,,,,,,7.653999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79912192,,0.1,0,5.79912192,,,,,,,,,,,7.07,,,,,
2023-03-31,10.09,10.09,10.09,10.09,10.09,4438526,44792139.68,8.418000000000001,,,,,,,,8.466000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.137209728,,0.12000000000000001,0,6.137209728,,,,,,,,,,,6.95,,,,,60.92503987240829
2023-04-03,11.1,11.1,10.9,11.1,11.1,156737000,1739106730.9,9.258,,,,,,,,9.344000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6115445606400005,,0.14,0,6.6115445606400005,,,,,,,,,,,7.23,,,,,60.86956521739128
2023-04-04,10.78,11.44,9.99,9.99,10.84,146498400,1587951826.99,9.739999999999998,,,,,,,,9.559333333333335,8.68125,,,,,,,,,,,73.23976027372208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2399283221504005,,0.16,0,7.2399283221504005,,,,,,,,,,,7.0,,,,,31.79419525065963
2023-04-05,9.0,9.97,9.0,9.11,9.41,505455600,4754559508.65,9.894,,,,,,,,9.409555555555556,8.776527777777778,,,,,,,,,,,58.70865595368869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.911939790606336,,0.16,0,7.911939790606336,,,,,8.855,,,,,,6.88,8.855,,,,9.232613908872889
2023-04-06,9.19,9.57,8.58,8.71,9.15,116922300,1069271854.92,9.8,8.727,,,,,,,9.176370370370371,8.761743827160494,8.727,,,,,,,,,,53.11969136043439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.476429424109323,,0.16,0,8.476429424109323,,,,,9.17,,,,,,7.12,9.17,,,,-5.119825708060988
